FeedbackID,CustomerID,ProjectID,FeedbackDate,Rating,Comments
FDBK0035,CUST0053,PROJ001,2013-11-07,5,Excellent construction quality and timely delivery. Very happy!
FDBK0036,CUST0054,PROJ001,2014-01-10,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0037,CUST0056,PROJ001,2013-07-08,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0038,CUST0057,PROJ001,2013-08-06,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0039,CUST0058,PROJ002,2015-05-03,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0040,CUST0059,PROJ002,2014-11-04,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0041,CUST0060,PROJ001,2013-09-17,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0042,CUST0062,PROJ001,2014-03-30,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0043,CUST0063,PROJ002,2014-10-05,5,Excellent construction quality and timely delivery. Very happy!
FDBK0044,CUST0064,PROJ002,2015-05-08,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0045,CUST0065,PROJ001,2013-10-12,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0046,CUST0066,PROJ001,2013-11-08,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0047,CUST0068,PROJ001,2013-12-02,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0048,CUST0069,PROJ001,2014-04-17,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0049,CUST0071,PROJ002,2015-01-15,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0050,CUST0072,PROJ002,2014-12-19,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0051,CUST0073,PROJ002,2014-12-15,2,Significant delay in handover. The final product feels rushed.
FDBK0052,CUST0075,PROJ001,2014-04-30,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0053,CUST0077,PROJ002,2015-03-23,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0054,CUST0078,PROJ001,2013-12-08,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0055,CUST0080,PROJ002,2015-06-09,2,Significant delay in handover. The final product feels rushed.
FDBK0056,CUST0082,PROJ001,2013-08-14,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0057,CUST0086,PROJ001,2014-01-25,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0058,CUST0087,PROJ002,2015-05-05,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0059,CUST0088,PROJ001,2014-03-03,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0060,CUST0089,PROJ001,2014-01-02,5,Excellent construction quality and timely delivery. Very happy!
FDBK0061,CUST0091,PROJ002,2015-06-06,2,Significant delay in handover. The final product feels rushed.
FDBK0062,CUST0092,PROJ002,2015-02-12,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0063,CUST0094,PROJ001,2014-02-26,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0064,CUST0095,PROJ002,2015-07-08,5,Excellent construction quality and timely delivery. Very happy!
FDBK0065,CUST0096,PROJ002,2015-01-26,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0066,CUST0097,PROJ002,2014-12-09,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0067,CUST0098,PROJ001,2013-06-21,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0068,CUST0099,PROJ002,2014-11-28,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0069,CUST0100,PROJ001,2013-12-16,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0070,CUST0101,PROJ001,2013-10-10,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0071,CUST0102,PROJ002,2015-01-09,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0072,CUST0103,PROJ001,2013-09-02,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0073,CUST0104,PROJ002,2014-12-24,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0074,CUST0105,PROJ002,2015-04-03,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0075,CUST0106,PROJ002,2014-11-12,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0076,CUST0107,PROJ002,2015-07-08,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0077,CUST0108,PROJ002,2014-10-31,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0078,CUST0109,PROJ002,2015-04-23,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0079,CUST0110,PROJ001,2013-09-30,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0080,CUST0111,PROJ002,2015-06-05,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0081,CUST0112,PROJ002,2015-05-28,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0082,CUST0113,PROJ002,2014-10-05,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0083,CUST0114,PROJ001,2013-12-22,2,Significant delay in handover. The final product feels rushed.
FDBK0084,CUST0115,PROJ001,2014-04-14,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0085,CUST0116,PROJ002,2015-05-13,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0086,CUST0117,PROJ002,2015-08-10,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0087,CUST0118,PROJ002,2015-04-28,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0088,CUST0119,PROJ001,2014-03-10,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0089,CUST0122,PROJ002,2014-12-15,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0090,CUST0123,PROJ001,2014-03-08,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0091,CUST0126,PROJ002,2014-11-23,5,Excellent construction quality and timely delivery. Very happy!
FDBK0092,CUST0127,PROJ001,2014-04-10,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0093,CUST0128,PROJ001,2013-09-10,2,Significant delay in handover. The final product feels rushed.
FDBK0094,CUST0129,PROJ001,2013-09-17,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0095,CUST0132,PROJ002,2015-07-26,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0096,CUST0133,PROJ001,2013-12-20,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0097,CUST0134,PROJ002,2015-06-17,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0098,CUST0135,PROJ003,2016-03-29,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0099,CUST0136,PROJ001,2013-10-14,5,Excellent construction quality and timely delivery. Very happy!
FDBK0100,CUST0137,PROJ003,2016-08-06,5,Excellent construction quality and timely delivery. Very happy!
FDBK0101,CUST0139,PROJ003,2016-11-05,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0102,CUST0140,PROJ001,2013-12-03,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0103,CUST0142,PROJ001,2013-10-24,2,Significant delay in handover. The final product feels rushed.
FDBK0104,CUST0143,PROJ001,2013-11-05,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0105,CUST0145,PROJ003,2016-05-27,2,Significant delay in handover. The final product feels rushed.
FDBK0106,CUST0147,PROJ002,2015-01-03,5,Excellent construction quality and timely delivery. Very happy!
FDBK0107,CUST0148,PROJ001,2013-11-26,5,Excellent construction quality and timely delivery. Very happy!
FDBK0108,CUST0149,PROJ001,2014-04-14,2,Significant delay in handover. The final product feels rushed.
FDBK0109,CUST0150,PROJ002,2015-07-05,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0110,CUST0151,PROJ003,2016-04-05,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0111,CUST0152,PROJ002,2015-06-16,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0112,CUST0154,PROJ003,2016-02-16,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0113,CUST0155,PROJ001,2013-10-21,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0114,CUST0158,PROJ001,2013-07-11,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0115,CUST0159,PROJ003,2016-04-19,2,Significant delay in handover. The final product feels rushed.
FDBK0116,CUST0161,PROJ001,2014-04-27,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0117,CUST0164,PROJ003,2016-05-28,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0118,CUST0166,PROJ002,2014-11-17,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0119,CUST0167,PROJ003,2016-03-18,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0120,CUST0168,PROJ002,2015-03-13,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0121,CUST0169,PROJ001,2014-05-19,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0122,CUST0170,PROJ003,2016-01-22,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0123,CUST0171,PROJ001,2014-01-06,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0124,CUST0173,PROJ001,2013-08-19,2,Significant delay in handover. The final product feels rushed.
FDBK0125,CUST0174,PROJ003,2016-01-22,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0126,CUST0177,PROJ001,2013-11-18,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0127,CUST0178,PROJ003,2016-09-27,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0128,CUST0180,PROJ001,2013-12-11,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0129,CUST0181,PROJ003,2016-11-16,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0130,CUST0183,PROJ003,2016-07-12,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0131,CUST0184,PROJ001,2013-08-31,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0132,CUST0187,PROJ002,2015-02-06,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0133,CUST0188,PROJ003,2016-05-13,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0134,CUST0189,PROJ003,2016-03-19,5,Excellent construction quality and timely delivery. Very happy!
FDBK0135,CUST0190,PROJ003,2016-03-07,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0136,CUST0192,PROJ001,2014-05-16,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0137,CUST0193,PROJ003,2016-09-05,2,Significant delay in handover. The final product feels rushed.
FDBK0138,CUST0194,PROJ002,2015-03-03,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0139,CUST0195,PROJ002,2015-05-29,5,Excellent construction quality and timely delivery. Very happy!
FDBK0140,CUST0198,PROJ003,2016-07-27,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0141,CUST0200,PROJ001,2013-10-03,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0142,CUST0201,PROJ001,2014-04-24,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0143,CUST0202,PROJ003,2016-05-08,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0144,CUST0203,PROJ002,2014-12-16,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0145,CUST0204,PROJ001,2013-08-13,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0146,CUST0205,PROJ003,2015-12-31,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0147,CUST0208,PROJ003,2016-07-25,2,Significant delay in handover. The final product feels rushed.
FDBK0148,CUST0211,PROJ002,2014-12-10,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0149,CUST0213,PROJ002,2014-12-18,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0150,CUST0214,PROJ001,2013-11-15,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0151,CUST0215,PROJ003,2016-08-07,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0152,CUST0216,PROJ001,2013-09-27,2,Significant delay in handover. The final product feels rushed.
FDBK0153,CUST0217,PROJ001,2014-02-17,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0154,CUST0218,PROJ003,2016-09-26,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0155,CUST0219,PROJ003,2016-01-05,2,Significant delay in handover. The final product feels rushed.
FDBK0156,CUST0220,PROJ001,2013-12-31,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0157,CUST0222,PROJ001,2014-01-31,2,Significant delay in handover. The final product feels rushed.
FDBK0158,CUST0223,PROJ003,2016-09-13,2,Significant delay in handover. The final product feels rushed.
FDBK0159,CUST0224,PROJ003,2016-02-05,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0160,CUST0225,PROJ001,2013-12-18,2,Significant delay in handover. The final product feels rushed.
FDBK0161,CUST0226,PROJ002,2014-11-27,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0162,CUST0227,PROJ001,2014-02-01,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0163,CUST0229,PROJ003,2016-07-19,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0164,CUST0230,PROJ002,2014-11-16,5,Excellent construction quality and timely delivery. Very happy!
FDBK0165,CUST0231,PROJ001,2013-09-27,5,Excellent construction quality and timely delivery. Very happy!
FDBK0166,CUST0232,PROJ003,2016-02-17,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0167,CUST0233,PROJ003,2016-02-23,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0168,CUST0235,PROJ002,2015-04-28,2,Significant delay in handover. The final product feels rushed.
FDBK0169,CUST0236,PROJ003,2016-05-23,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0170,CUST0237,PROJ001,2013-07-20,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0171,CUST0238,PROJ002,2014-10-20,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0172,CUST0240,PROJ001,2014-04-04,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0173,CUST0241,PROJ003,2016-07-10,5,Excellent construction quality and timely delivery. Very happy!
FDBK0174,CUST0242,PROJ001,2014-02-15,2,Significant delay in handover. The final product feels rushed.
FDBK0175,CUST0243,PROJ003,2016-06-02,2,Significant delay in handover. The final product feels rushed.
FDBK0176,CUST0244,PROJ001,2013-10-29,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0177,CUST0247,PROJ002,2014-11-11,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0178,CUST0248,PROJ003,2016-04-22,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0179,CUST0250,PROJ003,2016-08-01,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0180,CUST0251,PROJ002,2015-05-14,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0181,CUST0253,PROJ002,2015-04-22,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0182,CUST0255,PROJ003,2016-06-23,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0183,CUST0256,PROJ003,2016-07-19,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0184,CUST0258,PROJ002,2014-10-05,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0185,CUST0259,PROJ003,2016-03-14,2,Significant delay in handover. The final product feels rushed.
FDBK0186,CUST0260,PROJ003,2016-01-07,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0187,CUST0261,PROJ002,2015-07-06,5,Excellent construction quality and timely delivery. Very happy!
FDBK0188,CUST0262,PROJ002,2014-11-26,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0189,CUST0264,PROJ003,2016-11-10,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0190,CUST0265,PROJ002,2015-05-11,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0191,CUST0266,PROJ003,2016-09-13,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0192,CUST0268,PROJ002,2014-12-28,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0193,CUST0269,PROJ003,2016-06-02,5,Excellent construction quality and timely delivery. Very happy!
FDBK0194,CUST0270,PROJ003,2016-01-11,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0195,CUST0271,PROJ002,2014-11-03,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0196,CUST0273,PROJ002,2015-04-12,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0197,CUST0274,PROJ002,2014-09-23,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0198,CUST0275,PROJ003,2016-07-05,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0199,CUST0276,PROJ002,2015-01-23,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0200,CUST0278,PROJ003,2016-04-07,5,Excellent construction quality and timely delivery. Very happy!
FDBK0201,CUST0280,PROJ002,2015-04-28,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0202,CUST0281,PROJ002,2015-01-28,2,Significant delay in handover. The final product feels rushed.
FDBK0203,CUST0282,PROJ003,2016-11-07,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0204,CUST0284,PROJ002,2015-07-14,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0205,CUST0289,PROJ002,2015-03-25,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0206,CUST0293,PROJ002,2015-04-09,2,Significant delay in handover. The final product feels rushed.
FDBK0207,CUST0294,PROJ003,2016-08-17,5,Excellent construction quality and timely delivery. Very happy!
FDBK0208,CUST0296,PROJ003,2016-11-08,5,Excellent construction quality and timely delivery. Very happy!
FDBK0209,CUST0299,PROJ003,2016-09-16,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0210,CUST0300,PROJ003,2016-04-14,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0211,CUST0302,PROJ003,2016-06-10,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0212,CUST0304,PROJ002,2015-01-26,2,Significant delay in handover. The final product feels rushed.
FDBK0213,CUST0306,PROJ002,2015-07-04,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0214,CUST0307,PROJ003,2016-09-11,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0215,CUST0310,PROJ004,2018-02-16,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0216,CUST0313,PROJ004,2017-10-09,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0217,CUST0314,PROJ003,2016-09-09,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0218,CUST0318,PROJ004,2017-12-10,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0219,CUST0320,PROJ002,2015-05-03,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0220,CUST0323,PROJ004,2018-04-26,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0221,CUST0324,PROJ003,2016-04-07,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0222,CUST0325,PROJ002,2015-06-08,5,Excellent construction quality and timely delivery. Very happy!
FDBK0223,CUST0326,PROJ002,2015-02-27,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0224,CUST0327,PROJ003,2016-07-14,5,Excellent construction quality and timely delivery. Very happy!
FDBK0225,CUST0329,PROJ003,2016-09-07,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0226,CUST0330,PROJ003,2016-11-21,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0227,CUST0331,PROJ003,2016-08-16,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0228,CUST0333,PROJ003,2016-07-09,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0229,CUST0335,PROJ003,2016-07-06,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0230,CUST0336,PROJ004,2017-12-02,5,Excellent construction quality and timely delivery. Very happy!
FDBK0231,CUST0337,PROJ003,2016-01-07,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0232,CUST0338,PROJ004,2017-06-24,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0233,CUST0339,PROJ003,2016-02-11,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0234,CUST0344,PROJ002,2015-07-12,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0235,CUST0345,PROJ004,2017-08-16,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0236,CUST0346,PROJ003,2016-06-09,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0237,CUST0347,PROJ003,2016-08-19,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0238,CUST0351,PROJ003,2016-01-09,2,Significant delay in handover. The final product feels rushed.
FDBK0239,CUST0352,PROJ003,2016-03-03,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0240,CUST0353,PROJ003,2016-07-04,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0241,CUST0354,PROJ002,2014-10-24,5,Excellent construction quality and timely delivery. Very happy!
FDBK0242,CUST0356,PROJ003,2016-09-11,2,Significant delay in handover. The final product feels rushed.
FDBK0243,CUST0358,PROJ002,2015-07-21,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0244,CUST0360,PROJ003,2016-03-24,2,Significant delay in handover. The final product feels rushed.
FDBK0245,CUST0361,PROJ003,2016-01-02,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0246,CUST0362,PROJ003,2015-12-25,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0247,CUST0363,PROJ002,2015-08-09,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0248,CUST0365,PROJ002,2014-09-21,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0249,CUST0366,PROJ002,2015-07-06,5,Excellent construction quality and timely delivery. Very happy!
FDBK0250,CUST0367,PROJ003,2016-10-23,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0251,CUST0368,PROJ004,2017-12-23,2,Build quality is not up to the mark. Facing issues with fittings.
FDBK0252,CUST0369,PROJ003,2016-09-10,5,Excellent construction quality and timely delivery. Very happy!
FDBK0253,CUST0370,PROJ003,2016-10-11,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0254,CUST0372,PROJ003,2016-08-31,5,Excellent construction quality and timely delivery. Very happy!
FDBK0255,CUST0374,PROJ002,2015-01-24,2,Significant delay in handover. The final product feels rushed.
FDBK0256,CUST0376,PROJ003,2016-10-27,2,Significant delay in handover. The final product feels rushed.
FDBK0257,CUST0377,PROJ003,2016-06-07,4,"Loved the apartment view, though the initial paperwork process was a bit slow."
FDBK0258,CUST0379,PROJ002,2015-01-31,5,Excellent construction quality and timely delivery. Very happy!
FDBK0259,CUST0382,PROJ003,2016-08-07,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0260,CUST0383,PROJ004,2017-12-29,3,"The apartment is nice, but maintenance fees are higher than what was initially promised."
FDBK0261,CUST0384,PROJ004,2018-02-15,4,"Good project overall, but the clubhouse amenities were delayed."
FDBK0262,CUST0385,PROJ003,2016-02-17,5,Truly a landmark project. The finish and attention to detail are superb.
FDBK0263,CUST0386,PROJ003,2016-11-22,5,Excellent construction quality and timely delivery. Very happy!
FDBK0264,CUST0389,PROJ003,2016-11-21,2,Significant delay in handover. The final product feels rushed.
FDBK0265,CUST0390,PROJ004,2017-12-10,3,"Average experience. Construction is solid, but there were some plumbing issues after moving in."
FDBK0266,CUST0392,PROJ003,2016-08-11,2,Significant delay in handover. The final product feels rushed.
